code,actual_controller,ownership_type
000001,,no_controller
000002,,no_controller
000006,深圳市人民政府国有资产监督管理委员会,state
000007,李成碧,private
000008,文炳荣,private
000009,,no_controller
000010,"曹永红,刘德明",private
000011,深圳市国有资产监督管理局,state
000012,,no_controller
000014,深圳市人民政府国有资产监督管理委员会,state
000016,国务院国有资产监督管理委员会,state
000017,张燕芬,private
000019,深圳市人民政府国有资产监督管理委员会,state
000020,李中秋,private
000021,国务院国有资产监督管理委员会,state
000025,深圳市国有资产监督管理局,state
000026,国务院国有资产监督管理委员会,state
000027,深圳市国有资产监督管理局,state
000028,国务院国有资产监督管理委员会,state
000029,深圳市国有资产监督管理局,state
000030,郭涛,private
000031,国务院国有资产监督管理委员会,state
000032,国务院国有资产监督管理委员会,state
000034,深圳市人民政府国有资产监督管理委员会,state
000035,"曹小竹,范伟",private
000036,杭州锦江集团有限公司,private
000037,,no_controller
000039,国务院国有资产监督管理委员会,state
000042,深圳市人民政府国有资产监督管理委员会,state
000045,深圳市国有资产监督管理局,state
000048,罗爱华,private
000049,惠州市国有资产监督管理委员会,state
000050,国务院国有资产监督管理委员会,state
000055,熊建明,private
000056,郑康豪,private
000058,深圳市人民政府国有资产监督管理局,state
000059,国务院国有资产监督管理委员会,state
000060,广东省人民政府国有资产监督管理委员会,state
000061,深圳市国有资产监督管理局,state
000062,,no_controller
000063,,no_controller
000065,国务院国有资产监督管理委员会,state
000066,国务院国有资产监督管理委员会,state
000068,,no_controller
000069,国务院国有资产监督管理委员会,state
000070,深圳市国有资产监督管理局,state
000078,王劲松,private
000088,深圳市国有资产监督管理局,state
000089,深圳市国有资产监督管理局,state
000090,深圳市国有资产监督管理局,state
000096,,no_controller
000099,中华人民共和国财政部,private
000100,,no_controller
000151,国家开发投资公司,private
000153,蚌埠市国有资产监督管理委员会,state
000155,四川省国有资产监督管理委员会,state
000156,鄢彩宏(湖南鸿仪投资发展有限公司),private
000157,湖南省人民政府国有资产监督管理委员会,state
000158,石家庄市国有资产监督管理委员会,state
000159,张彦夫,private
000166,中央汇金投资有限责任公司,private
000301,吴江市国有(集体)资产管理委员会,state
000333,何享健,private
000338,山东省国有资产监督管理委员会,state
000400,国务院国有资产监督管理委员会,state
000401,唐山市人民政府国有资产监督管理委员会,state
000402,北京市西城区国有资产监督管理委员会,state
000403,史珉志,private
000404,绵阳市国有资产监督管理委员会,state
000407,,no_controller
000408,"邵萍,路联",private
000409,安徽省蚌埠市国有资产监督管理委员会,state
000410,沈阳市国有资产监督管理委员会,state
000411,国务院国有资产监督管理委员会,state
000415,黄善年,private
000417,合肥市国有资产管理委员会,state
000419,长沙市国有资产监督管理委员会,state
000420,吉林省人民政府国有资产监督管理委员会,state
000421,南京市人民政府国有资产监督管理委员会,state
000422,宜昌市国有资产监督管理委员会,state
000423,国务院国有资产监督管理委员会,state
000425,徐州市人民政府,state
000426,赤峰市经济委员会,private
000428,湖南省国有资产监督管理委员会,state
000429,,no_controller
000430,张家界旅游经济开发区管理委员会,private
000488,寿光市国有资产管理局,state
000498,"张宗真,陈爱钦,张源",private
000501,武汉市国有资产监督管理委员会,state
000503,林宗岐,private
000504,中国电子信息产业发展研究院,state
000505,北京市国有资产监督管理委员会,state
000506,郑峰文,private
000507,珠海市人民政府国有资产监督管理委员会,state
000509,山东省国有资产监督管理委员会,state
000510,刘汉,private
000513,朱保国,private
000514,重庆市国有资产监督管理委员会,state
000516,刘建申,private
000517,王久芳及其一致行动人,private
000518,江阴市新桥镇集体资产管理委员会,private
000519,国务院国有资产监督管理委员会,state
000520,国务院国有资产监督管理委员会,state
000521,绵阳市国有资产管理委员会,state
000523,广东省广州市人民政府,state
000524,广州市人民政府国有资产监督管理委员会,state
000525,高淳县国有资产经营(控股)有限公司,state
000526,黄少良,private
000528,广西壮族自治区国有资产管理委员会,state
000529,广东省国有资产监督管理委员会,state
000530,大连市人民政府国有资产监督管理委员会,state
000531,广州开发区管理委员会,private
000532,珠海市人民政府国有资产监督管理委员会,state
000533,张明园,private
000534,林伟光,private
000536,大同股份有限公司,private
000537,国务院国有资产监督管理委员会,state
000538,云南省人民政府国有资产监督管理委员会,state
000539,广东省人民政府国有资产监督管理委员会,state
000541,,no_controller
000543,安徽省国有资产监督管理委员会,state
000544,郑州市人民政府,state
000545,广州市国资委,state
000546,广东省委宣传部,private
000547,章高路,private
000548,长沙市国有资产监督管理委员会,state
000550,"南昌市国有资产监督管理委员会,国务院国有资产监督管理委员会",state
000551,苏州市人民政府国有资产监督管理委员会,state
000552,甘肃省国有资产监督管理委员会,state
000553,国务院国有资产监督管理委员会,state
000554,国务院国有资产监督管理委员会,state
000555,昆山市国有(集体)资产管理委员会,state
000557,,no_controller
000558,高继胜,private
000559,鲁冠球,private
000560,何道峰,private
000561,陕西省人民政府国有资产监督管理委员会,state
000563,陕西省人民政府国有资产监督管理委员会,state
000564,海南航空股份有限公司工会委员会,private
000565,重庆市国有资产监督管理委员会,state
