industry_csrc,2019,2020,2021,2022,2023,2024,整体风险率
建筑装饰、装修和其他建筑业,0.125,0.2916666666666667,0.16666666666666666,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.13194444444444445
广播、电视、电影和录音制作业,0.5882352941176471,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941
黑色金属冶炼和压延加工业,0.0,0.045454545454545456,0.4090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.10606060606060606
房地产业,0.08064516129032258,0.08064516129032258,0.0967741935483871,0.0967741935483871,0.1774193548387097,0.0967741935483871,0.10483870967741936
商务服务业,0.21666666666666667,0.06666666666666667,0.11666666666666667,0.016666666666666666,0.05,0.06666666666666667,0.08888888888888889
公共设施管理业,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.08823529411764706
软件和信息技术服务业,0.08139534883720931,0.05763688760806916,0.14697406340057637,0.10086455331412104,0.08333333333333333,0.05747126436781609,0.08793849111004325
文教、工美、体育和娱乐用品制造业,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043
生态保护和环境治理业,0.046875,0.046875,0.125,0.06451612903225806,0.140625,0.078125,0.08376963350785341
纺织服装、服饰业,0.21621621621621623,0.0,0.16216216216216217,0.02702702702702703,0.08108108108108109,0.0,0.08108108108108109
电信、广播电视和卫星传输服务,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.0,0.07894736842105263
非金属矿物制品业,0.05102040816326531,0.06060606060606061,0.09,0.08823529411764706,0.11764705882352941,0.029411764705882353,0.07296849087893864
零售业,0.07317073170731707,0.04878048780487805,0.14634146341463414,0.03614457831325301,0.03614457831325301,0.08433734939759036,0.0707070707070707
医药制造业,0.1,0.05172413793103448,0.058419243986254296,0.05136986301369863,0.07876712328767123,0.07534246575342465,0.06926159129937035
互联网和相关服务,0.06896551724137931,0.08620689655172414,0.08620689655172414,0.05172413793103448,0.06896551724137931,0.05172413793103448,0.06896551724137931
农副食品加工业,0.05357142857142857,0.17857142857142858,0.017857142857142856,0.08928571428571429,0.017857142857142856,0.05357142857142857,0.06845238095238096
专业技术服务业,0.0,0.012048192771084338,0.10843373493975904,0.060240963855421686,0.1686746987951807,0.03614457831325301,0.06464646464646465
计算机、通信和其他电子设备制造业,0.05246422893481717,0.061514195583596214,0.06103286384976526,0.0898021308980213,0.07142857142857142,0.04711246200607903,0.064
土木工程建筑业,0.016666666666666666,0.06666666666666667,0.1,0.06666666666666667,0.03333333333333333,0.08333333333333333,0.06111111111111111
电力、热力生产和供应业,0.03225806451612903,0.1935483870967742,0.04838709677419355,0.04838709677419355,0.016129032258064516,0.016129032258064516,0.05913978494623656
家具制造业,0.0,0.23076923076923078,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.057692307692307696
