ownership_type,industry_csrc,样本数,风险率
private,畜牧业,78,0.16666666666666666
state,黑色金属冶炼和压延加工业,96,0.13541666666666666
private,建筑装饰、装修和其他建筑业,138,0.13043478260869565
private,石油、煤炭及其他燃料加工业,54,0.12962962962962962
private,皮革、毛皮、羽毛及其制品和制鞋业,72,0.125
state,非金属矿物制品业,102,0.11764705882352941
private,开采专业及辅助性活动,60,0.11666666666666667
private,电信、广播电视和卫星传输服务,72,0.1111111111111111
state,房地产业,204,0.10784313725490197
private,商务服务业,252,0.10714285714285714
private,教育,66,0.10606060606060606
private,印刷和记录媒介复制业,66,0.10606060606060606
private,广播、电视、电影和录音制作业,72,0.09722222222222222
private,房地产业,156,0.09615384615384616
private,软件和信息技术服务业,1696,0.09198113207547169
state,汽车制造业,120,0.09166666666666666
private,其他制造业,66,0.09090909090909091
private,生态保护和环境治理业,317,0.08832807570977919
private,专业技术服务业,274,0.08759124087591241
private,文教、工美、体育和娱乐用品制造业,126,0.0873015873015873
private,土木工程建筑业,204,0.08333333333333333
private,纺织服装、服饰业,198,0.08080808080808081
no_controller,软件和信息技术服务业,102,0.0784313725490196
private,医药制造业,1401,0.07637401855817273
private,公共设施管理业,66,0.07575757575757576
private,农副食品加工业,270,0.07407407407407407
private,卫生,96,0.07291666666666667
private,零售业,360,0.07222222222222222
private,新闻和出版业,84,0.07142857142857142
private,计算机、通信和其他电子设备制造业,3053,0.07009498853586636
private,非金属矿物制品业,423,0.06855791962174941
private,互联网和相关服务,336,0.06845238095238096
state,零售业,120,0.06666666666666667
state,电气机械和器材制造业,108,0.06481481481481481
state,软件和信息技术服务业,141,0.06382978723404255
state,电力、热力生产和供应业,252,0.06349206349206349
private,道路运输业,66,0.06060606060606061
no_controller,医药制造业,66,0.06060606060606061
private,化学纤维制造业,83,0.060240963855421686
private,橡胶和塑料制品业,636,0.059748427672955975
private,电气机械和器材制造业,1696,0.05837264150943396
private,家具制造业,138,0.057971014492753624
private,化学原料和化学制品制造业,1510,0.0576158940397351
private,铁路、船舶、航空航天和其他运输设备制造业,267,0.056179775280898875
state,化学原料和化学制品制造业,294,0.05442176870748299
private,专用设备制造业,1761,0.05337876206700738
private,批发业,246,0.052845528455284556
private,废弃资源综合利用业,95,0.05263157894736842
state,商务服务业,96,0.052083333333333336
state,计算机、通信和其他电子设备制造业,404,0.05198019801980198
state,道路运输业,78,0.05128205128205128
state,专用设备制造业,198,0.050505050505050504
private,电力、热力生产和供应业,120,0.05
state,有色金属矿采选业,60,0.05
private,通用设备制造业,1090,0.04954128440366973
private,有色金属冶炼和压延加工业,348,0.04885057471264368
private,研究和试验发展,168,0.047619047619047616
state,批发业,150,0.04666666666666667
private,金属制品业,478,0.04602510460251046
state,医药制造业,174,0.04597701149425287
private,仪器仪表制造业,458,0.043668122270742356
state,通用设备制造业,138,0.043478260869565216
private,燃气生产和供应业,96,0.041666666666666664
state,食品制造业,96,0.041666666666666664
private,造纸和纸制品业,177,0.03954802259887006
private,汽车制造业,893,0.03919372900335946
private,食品制造业,312,0.035256410256410256
no_controller,化学原料和化学制品制造业,60,0.03333333333333333
private,酒、饮料和精制茶制造业,120,0.03333333333333333
state,有色金属冶炼和压延加工业,92,0.03260869565217391
no_controller,计算机、通信和其他电子设备制造业,215,0.03255813953488372
state,专业技术服务业,126,0.031746031746031744
state,土木工程建筑业,144,0.027777777777777776
private,纺织业,216,0.027777777777777776
state,煤炭开采和洗选业,114,0.02631578947368421
state,酒、饮料和精制茶制造业,90,0.022222222222222223
state,铁路、船舶、航空航天和其他运输设备制造业,165,0.01818181818181818
state,水上运输业,144,0.013888888888888888
state,新闻和出版业,78,0.01282051282051282
state,水的生产和供应业,66,0.0
