代码,名称,行业,所有制,财报年,预警概率,主要风险特征
920931,无锡鼎邦,专用设备制造业,,2025,0.94393504,ROE<3%；净利率<4%；经营现金流/负债<5%
300342,天银机电,通用设备制造业,private,2025,0.9420268,ROE<3%；净利率<4%；经营现金流/负债<5%
301590,优优绿能,电气机械和器材制造业,private,2025,0.9385476,经营现金流/负债<5%
600248,陕建股份,土木工程建筑业,state,2025,0.9364491,ROE<3%；净利率<4%；经营现金流/负债<5%；负债率>70%
688631,莱斯信息,软件和信息技术服务业,state,2025,0.9329717,ROE<3%；经营现金流/负债<5%
300936,中英科技,计算机、通信和其他电子设备制造业,private,2025,0.9321058,ROE<3%；净利率<4%
600740,山西焦化,石油、煤炭及其他燃料加工业,state,2025,0.9320158,ROE<3%；净利率<4%；经营现金流/负债<5%
600328,中盐化工,化学原料和化学制品制造业,state,2025,0.92519826,ROE<3%；净利率<4%；经营现金流/负债<5%
688075,安旭生物,医药制造业,private,2025,0.9247143,ROE<3%；经营现金流/负债<5%
600879,航天电子,铁路、船舶、航空航天和其他运输设备制造业,state,2025,0.9237619,ROE<3%；净利率<4%；经营现金流/负债<5%
600510,黑牡丹,房地产业,private,2025,0.9222793,ROE<3%；净利率<4%；经营现金流/负债<5%
300021,大禹节水,水利管理业,private,2025,0.9217973,ROE<3%；净利率<4%；经营现金流/负债<5%；负债率>70%
301168,通灵股份,电气机械和器材制造业,private,2025,0.92130476,ROE<3%；净利率<4%；经营现金流/负债<5%
002135,东南网架,金属制品业,private,2025,0.9203947,ROE<3%；净利率<4%；经营现金流/负债<5%
688586,江航装备,铁路、船舶、航空航天和其他运输设备制造业,state,2025,0.918336,ROE<3%；经营现金流/负债<5%
002219,新里程,卫生,private,2025,0.91762596,ROE<3%；净利率<4%
301102,兆讯传媒,商务服务业,private,2025,0.9173119,ROE<3%；净利率<4%
600010,包钢股份,黑色金属冶炼和压延加工业,state,2025,0.91540974,ROE<3%；净利率<4%；经营现金流/负债<5%
002419,天虹股份,零售业,state,2025,0.915291,ROE<3%；净利率<4%；负债率>70%
301390,经纬股份,专业技术服务业,private,2025,0.91506344,ROE<3%；净利率<4%
003005,竞业达,软件和信息技术服务业,private,2025,0.9147241,ROE<3%；净利率<4%；经营现金流/负债<5%
301263,泰恩康,批发业,private,2025,0.9129902,ROE<3%；净利率<4%；经营现金流/负债<5%
603189,*ST网达,软件和信息技术服务业,private,2025,0.91201,ROE<3%；净利率<4%
603898,好莱客,家具制造业,private,2025,0.91146666,ROE<3%；净利率<4%；经营现金流/负债<5%
300789,唐源电气,软件和信息技术服务业,private,2025,0.9113635,ROE<3%；净利率<4%；经营现金流/负债<5%
003001,中岩大地,土木工程建筑业,private,2025,0.91092676,ROE<3%；净利率<4%
600561,江西长运,道路运输业,private,2025,0.9108046,ROE<3%；净利率<4%；负债率>70%
603180,金牌家居,家具制造业,private,2025,0.9100738,ROE<3%；净利率<4%；经营现金流/负债<5%
000910,大亚圣象,,private,2025,0.90952045,ROE<3%；净利率<4%；经营现金流/负债<5%
002024,ST易购,,private,2025,0.9081738,ROE<3%；净利率<4%；经营现金流/负债<5%；负债率>70%
301139,*ST元道,软件和信息技术服务业,private,2025,0.9078696,ROE<3%；净利率<4%；经营现金流/负债<5%
301327,华宝新能,电气机械和器材制造业,private,2025,0.90737045,ROE<3%；净利率<4%；经营现金流/负债<5%
300284,苏交科,专业技术服务业,private,2025,0.9061192,ROE<3%；净利率<4%
600629,华建集团,专业技术服务业,state,2025,0.90568984,ROE<3%；净利率<4%；经营现金流/负债<5%
688716,中研股份,化学原料和化学制品制造业,private,2025,0.90514725,ROE<3%；净利率<4%；经营现金流/负债<5%
688568,中科星图,软件和信息技术服务业,private,2025,0.90443206,ROE<3%；经营现金流/负债<5%
688448,磁谷科技,通用设备制造业,private,2025,0.9036887,ROE<3%；净利率<4%
920368,连城数控,专用设备制造业,,2025,0.90284604,ROE<3%；净利率<4%；经营现金流/负债<5%
300642,透景生命,医药制造业,private,2025,0.902577,ROE<3%；净利率<4%
600371,万向德农,农、林、牧、渔专业及辅助性活动,private,2025,0.90138453,ROE<3%；净利率<4%；经营现金流/负债<5%
601618,中国中冶,土木工程建筑业,state,2025,0.90127003,ROE<3%；净利率<4%；经营现金流/负债<5%；负债率>70%
600373,中文传媒,新闻和出版业,state,2025,0.8990293,ROE<3%；经营现金流/负债<5%
002389,航天彩虹,铁路、船舶、航空航天和其他运输设备制造业,private,2025,0.89790004,ROE<3%；净利率<4%；经营现金流/负债<5%
688292,浩瀚深度,软件和信息技术服务业,private,2025,0.8968705,ROE<3%；净利率<4%
002929,润建股份,软件和信息技术服务业,private,2025,0.8964657,ROE<3%；净利率<4%；经营现金流/负债<5%
301042,安联锐视,计算机、通信和其他电子设备制造业,private,2025,0.8963892,ROE<3%；经营现金流/负债<5%
600396,华电辽能,电力、热力生产和供应业,state,2025,0.896387,ROE<3%；负债率>70%
601222,林洋能源,电气机械和器材制造业,private,2025,0.8961044,ROE<3%
301010,晶雪节能,非金属矿物制品业,private,2025,0.8957704,ROE<3%；净利率<4%
301520,万邦医药,研究和试验发展,private,2025,0.8953663,ROE<3%；经营现金流/负债<5%
